,user_id,item_id,interaction
0,1195,2172,0
1,6900,204,0
2,5315,1962,1
3,2010,2993,1
4,5125,2335,0
5,1147,482,1
6,3536,1806,0
7,1299,1651,1
8,4135,185,0
9,6418,785,1
10,1033,2836,0
11,6420,2574,0
12,5601,1337,0
13,2255,3962,0
14,4492,1355,1
15,5317,2403,1
16,174,2081,0
17,3416,4195,1
18,4903,414,0
19,1813,3880,0
20,2749,2409,0
21,1547,3987,1
22,1506,2364,0
23,3631,1032,0
24,167,1354,1
25,1770,3029,1
26,5457,2841,0
27,6290,2462,0
28,36,1309,0
29,1604,815,1
30,6533,3452,0
31,4579,354,1
32,5480,501,0
33,359,3551,0
34,2867,3568,1
35,2826,1945,1
36,3918,1391,0
37,5631,2298,0
38,4431,1151,0
39,4962,994,0
40,4464,715,0
41,5787,833,1
42,2319,164,0
43,331,1510,0
44,1292,2820,1
45,1535,2245,0
46,2526,272,1
47,3366,473,0
48,1325,4001,1
49,2601,2045,0
50,1326,70,1
51,4955,3371,0
52,5733,843,1
53,1486,1577,1
54,2343,2968,0
55,626,482,0
56,6011,1876,0
57,677,2266,1
58,811,3304,0
59,357,1323,0
60,3670,1161,1
61,4912,1491,0
62,5119,1179,1
63,3551,167,1
64,6569,1114,0
65,1156,512,0
66,5024,2106,0
67,4119,2594,1
68,1402,2792,0
69,6718,799,1
70,3687,4211,0
71,7047,741,1
72,785,4042,1
73,2961,2821,1
74,4834,3371,1
75,1480,1261,1
76,1865,970,0
77,3436,91,0
78,1387,500,0
79,2139,2528,1
80,408,3970,1
81,2223,1305,0
82,4903,91,0
83,1733,3730,0
84,3964,1089,0
85,1547,996,0
86,5391,578,0
87,814,792,0
88,5059,493,0
89,4145,1859,0
90,5489,3121,0
91,6296,2832,1
92,1693,674,1
93,5641,2737,1
94,1742,3023,1
95,5752,3792,0
96,4749,295,0
97,7077,3445,1
98,3090,2592,0
99,800,4171,1
100,3899,3390,1
101,1548,3958,1
102,3881,1767,0
103,5451,204,1
104,3901,1988,1
105,486,4220,1
106,1893,1248,1
107,2657,1179,0
108,266,2832,1
109,4550,1458,0
110,5219,3967,0
111,3185,3679,1
112,5773,441,1
113,3415,3195,1
114,1417,1458,1
115,6786,1589,1
116,4362,174,1
117,1288,2891,0
118,6431,2440,0
119,5389,555,1
120,1601,1549,1
121,6371,2207,1
122,7011,4082,1
123,2416,1901,1
124,5506,2307,0
125,5235,2407,0
126,5942,308,1
127,2945,511,0
128,6787,101,0
129,5884,597,1
130,5967,358,1
131,3648,828,1
132,2856,2040,1
133,1124,1231,0
134,773,3282,0
135,4372,2840,0
136,6598,680,0
137,128,532,1
138,945,1734,1
139,5564,3158,0
140,2549,691,0
141,4484,1644,0
142,3318,2270,1
143,3907,3649,0
144,159,1142,1
145,5038,3633,1
146,3190,1737,1
147,1390,661,0
148,1153,3936,1
149,1988,2483,1
150,6686,881,0
151,6829,2545,1
152,5254,2313,1
153,4993,1250,1
154,210,430,1
155,1993,3505,0
156,5277,3590,0
157,4084,4019,0
158,6747,2469,1
159,4795,3525,1
160,1839,598,0
161,2697,1397,1
162,2114,769,0
163,3594,818,1
164,4575,1623,1
165,4120,996,1
166,5946,3994,0
167,3879,655,0
168,769,278,0
169,4853,1857,1
170,2060,2936,1
171,2946,752,0
172,5799,1916,0
173,6588,2467,0
174,1006,2622,1
175,2422,2679,0
176,6218,2671,1
177,1762,1400,0
178,715,3734,1
179,1851,3801,0
180,2559,1376,1
181,6522,2945,1
182,320,3401,1
183,3293,484,1
184,3975,4163,1
185,3513,3027,0
186,18,2940,0
187,5242,987,1
188,1936,2622,0
189,3416,157,0
190,3434,2014,0
191,7018,2324,1
192,5081,892,0
193,5236,1239,1
194,6503,3343,1
195,4733,3452,1
196,1689,3495,1
197,1013,4021,0
