,user_id,item_id,interaction
0,4917,3536,1
1,4631,707,0
2,5080,3435,0
3,1529,1172,0
4,4893,2417,1
5,5220,2244,1
6,1713,2224,0
7,4603,4081,0
8,4071,851,1
9,1514,397,1
10,4532,14,0
11,2201,978,1
12,7034,3160,0
13,2940,1396,1
14,7094,1475,0
15,3019,1857,0
16,5545,1103,1
17,3751,1082,0
18,1025,2398,1
19,6485,3977,1
20,4353,2656,0
21,1684,3826,1
22,1911,3933,0
23,4094,2417,0
24,5322,3722,1
25,3295,2313,1
26,4514,2022,0
27,1628,23,0
28,3458,1297,1
29,26,3998,1
30,1570,3569,0
31,1861,3315,0
32,3979,2044,1
33,948,3329,0
34,6371,1213,0
35,2958,1824,0
36,6224,1687,1
37,5850,567,0
38,6616,1064,1
39,4561,3176,1
40,6668,190,1
41,4290,3702,0
42,4884,1126,1
43,7093,3623,1
44,6949,3886,0
45,1480,2645,0
46,3577,2961,1
47,5698,519,1
48,5547,819,1
49,7022,1071,0
50,6924,2420,1
51,4835,384,0
52,1026,3118,0
53,5343,1872,1
54,1892,1768,0
55,5008,1470,1
56,659,884,1
57,4028,2390,1
58,6350,684,0
59,4260,1323,0
60,3012,2559,1
61,2696,4004,0
62,636,728,1
63,808,3998,1
64,3934,1224,1
65,2403,523,0
66,416,3372,1
67,769,3009,1
68,1133,391,0
69,298,707,0
70,3202,476,0
71,1416,635,0
72,3631,122,1
73,5296,3982,0
74,1000,2297,1
75,4676,35,1
76,729,333,1
77,6141,3224,0
78,5548,741,0
79,2552,3713,1
80,3771,425,0
81,5314,663,1
82,6298,2577,0
83,2206,2482,1
84,5436,503,0
85,2486,2287,0
86,6698,2460,1
87,3632,1748,0
88,5619,1311,0
89,6264,2856,1
90,4396,1712,0
91,5383,658,0
92,6592,892,1
93,3246,3720,1
94,1242,3588,1
95,5773,3232,0
96,1485,24,0
97,3656,1666,1
98,5945,995,0
99,1789,3697,1
100,5896,649,1
101,6596,2640,1
102,3394,4035,1
103,3433,842,1
104,5730,788,1
105,1273,3987,0
106,7087,2696,1
107,6114,3372,1
108,286,2890,0
109,3705,2057,1
110,6972,2748,1
111,1139,1609,1
112,2511,562,0
113,4802,445,0
114,3875,3863,0
115,5771,4135,1
116,1660,1321,0
117,4602,3099,0
118,312,1051,0
119,6045,626,1
120,6249,1060,0
121,6470,3172,0
122,5101,1394,1
123,3880,1711,1
124,5602,2021,0
125,370,3521,0
126,2855,2059,0
127,959,3150,0
128,6994,3435,1
129,4629,3787,1
130,4857,2387,1
131,3561,1467,1
132,3783,273,0
133,2452,512,0
134,3445,749,0
135,1542,1502,0
136,1916,1778,1
137,2186,1730,1
138,6914,2795,0
139,2495,2912,1
140,3158,644,1
141,3182,1539,0
142,5890,65,1
143,1541,300,1
144,2509,2596,1
145,3825,3433,1
146,4265,4000,1
147,7053,4206,0
148,5551,2008,1
149,6379,2879,0
150,3373,643,0
151,6513,3351,0
152,990,1726,0
153,5726,564,0
154,6040,3515,0
155,2256,1439,1
156,1226,1042,0
157,2238,3330,0
158,882,2523,1
159,2956,1783,1
160,5375,2906,1
161,5914,2165,1
162,5689,297,0
163,3915,536,0
164,3634,3267,1
165,3244,2497,0
166,5079,4096,0
167,3066,31,0
168,2953,2298,1
169,6632,1793,0
170,581,3010,1
171,2176,2221,0
172,6467,2121,1
173,4632,1670,0
174,6499,41,1
175,2162,2379,0
176,3744,222,0
177,6531,2712,0
178,2061,179,0
179,5094,3565,0
180,6585,489,0
181,2174,628,0
182,6439,65,1
183,5452,1189,1
184,6511,846,1
185,5975,3796,1
186,5399,507,1
187,2480,1589,0
188,3551,1266,0
189,1880,994,1
190,1587,2851,1
191,2309,1197,1
192,1714,162,0
193,1683,576,1
194,2147,3791,0
195,1394,2171,0
196,5942,3266,1
197,718,3347,1
198,2619,1503,0
199,6668,136,1
200,6078,2814,1
201,4322,4177,1
202,2868,4046,1
203,3371,2133,0
204,6486,392,1
205,4450,2142,1
206,6396,2882,1
